,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,fuel_usage,temperature_difference
367,15.4,5.0,48,25.5,31,SP98,1,0,0,0.77,-5.5
368,16.0,4.0,43,22.0,21,SP98,1,0,0,0.64,1.0
369,15.4,4.5,42,22.0,30,SP98,0,0,0,0.693,-8.0
370,16.0,3.6,43,22.0,19,SP98,0,0,0,0.5760000000000001,3.0
371,20.9,4.1,33,22.0,21,SP98,0,0,0,0.8568999999999999,1.0
372,32.1,3.9,47,22.0,26,SP98,0,0,0,1.2519,-4.0
373,15.3,6.6,16,24.0,27,SP98,1,0,0,1.0098,-3.0
374,28.5,4.0,44,25.0,23,SP98,1,0,0,1.14,2.0
375,11.9,3.7,33,25.0,19,SP98,0,0,0,0.4403,6.0
376,14.5,4.3,36,25.0,22,SP98,0,0,0,0.6234999999999999,3.0
377,16.6,4.1,49,22.0,26,SP98,0,0,1,0.6806,-4.0
378,16.2,4.4,39,24.5,17,SP98,1,0,0,0.7128,7.5
379,16.7,3.8,44,24.5,23,SP98,0,0,1,0.6345999999999999,1.5
380,8.3,5.0,52,24.5,27,SP98,0,0,0,0.415,-2.5
381,5.5,3.7,33,24.5,28,SP98,0,0,1,0.20350000000000001,-3.5
382,13.6,3.7,33,24.5,28,SP98,0,0,1,0.5032,-3.5
383,16.0,3.7,39,24.5,18,SP98,0,0,0,0.5920000000000001,6.5
384,16.1,4.3,38,25.0,31,SP98,1,0,0,0.6923,-6.0
385,16.0,3.8,45,25.0,19,SP98,0,0,0,0.608,6.0
386,15.4,4.6,42,25.0,31,SP98,1,0,0,0.7083999999999999,-6.0
387,14.7,5.0,25,25.0,30,SP98,1,0,0,0.735,-5.0
